"num","REGISTRY_ID"
1,110071526429
2,110064768041
3,110037999262
4,110067624093
5,110031611575
6,110065598384
7,110066654855
8,110071403332
9,110070404392
10,110070479145
11,110041349546
12,110001878415
13,110061520787
14,110024559529
15,110037899021
16,110030361445
17,110039450135
18,110014467610
19,110014318531
20,110068175842
21,110005865288
22,110070502006
23,110069993780
24,110066654711
25,110041654965
26,110006319714
27,110003397459
28,110015444278
29,110040347327
30,110058869078
31,110071276718
32,110065543077
33,110056229996
34,110010033775
35,110045165165
36,110010458922
37,110034709331
38,110015562755
39,110070523507
40,110017039122
41,110070419979
42,110039438944
43,110007412727
44,110070123397
45,110014288939
46,110028124526
47,110062862175
48,110029651311
49,110040269198
50,110019129762
51,110061619093
52,110070358003
53,110071099943
54,110019138191
55,110013530429
56,110041880907
57,110070436426
58,110032582658
59,110070451916
60,110070317173
61,110014237110
62,110022919797
63,110014314615
64,110071643813
65,110070377009
66,110070318507
67,110030613815
68,110071645776
69,110019666066
70,110038708002
71,110070835946
72,110058545686
73,110041430225
74,110040792229
75,110071370596
76,110014440845
77,110056471241
78,110071446390
79,110066194950
80,110015533127
81,110018523882
82,110070486531
83,110068280675
84,110041635843
85,110061332883
86,110070446975
87,110018479029
88,110068907277
89,110035187561
90,110071311388
91,110006452739
92,110065223528
93,110038716850
94,110039609180
95,110070457141
96,110045266136
97,110024944499
98,110032952981
99,110071252152
100,110067839851
101,110044494053
102,110056091768
103,110024114769
104,110002184458
105,110070373146
106,110070590712
107,110071156106
108,110070505134
109,110070664619
110,110061097183
111,110056043115
112,110055679948
113,110069145712
114,110025359859
115,110017092938
116,110071508844
117,110015951969
118,110070923974
119,110012607161
120,110058882589
121,110065246861
122,110036397244
123,110024375308
124,110066776867
125,110003416633
126,110019155368
127,110065233465
128,110070159152
129,110003536950
130,110013948498
131,110034857527
132,110070612288
133,110069426106
134,110015471862
135,110015765359
136,110042346654
137,110030540582
138,110069317830
139,110004778401
140,110059940952
141,110044381139
142,110015070634
143,110002509820
144,110070487424
145,110065897033
146,110003203676
147,110070126388
148,110019288171
149,110070262638
150,110002099087
151,110019377477
152,110030416146
153,110017028303
154,110041196327
155,110065666933
156,110031350375
157,110009603198
158,110070453879
159,110070020525
160,110039239044
161,110044756804
162,110067588355
163,110011550179
164,110037773415
165,110029601429
166,110070699322
167,110042277979
168,110008798961
169,110014309140
170,110018829222
171,110001578999
172,110019079138
173,110029623539
174,110068523315
175,110071511977
176,110056094060
177,110059780161
178,110070437844
179,110010662915
180,110002257110
181,110040518776
182,110020477072
183,110055963471
184,110070385697
185,110063040338
186,110040180096
187,110059796225
188,110024435324
189,110004154575
190,110058366824
191,110066491987
192,110009691967
193,110040773384
194,110037238469
195,110041540678
196,110024328878
197,110065673747
198,110021315218
199,110070383613
200,110002330549
201,110053053912
202,110071405499
203,110064582223
204,110011468651
205,110019649497
206,110070310318
207,110065021988
208,110038205885
209,110039535134
210,110033478403
211,110038701955
212,110058322266
213,110034113732
214,110065768565
215,110006337605
216,110070576869
217,110063215818
218,110019139573
219,110058457101
220,110042137470
221,110066240188
222,110008338245
223,110024302404
224,110037295619
225,110002155462
226,110037952711
227,110019023028
228,110015807206
229,110019304368
230,110015569197
231,110070901047
232,110066102719
233,110067428698
234,110031654635
235,110015549058
236,110037045140
237,110005497195
238,110065618852
239,110033600146
240,110042114262
241,110070801447
242,110044155179
243,110051726575
244,110070014274
245,110011492367
246,110039274415
247,110040796911
248,110017344373
249,110070385158
250,110014084579
251,110042495207
252,110066042071
253,110070928547
254,110012001886
255,110070478081
256,110070816320
257,110028213038
258,110015032748
259,110002691418
260,110060027028
261,110070452123
262,110059859853
263,110023925270
264,110012825050
265,110070439013
266,110070524870
267,110025032667
268,110070214611
269,110070537671
270,110070246352
271,110019368664
272,110070161968
273,110071707056
274,110071255653
275,110011616509
276,110065391301
277,110003203328
278,110070019984
279,110018621534
280,110030785032
281,110054573555
282,110025101592
283,110071660380
284,110004004666
285,110065518194
286,110070038147
287,110029659126
288,110017092572
289,110041029516
290,110032642077
291,110044396329
292,110055424394
293,110071206135
294,110003122157
295,110070600154
296,110005213161
297,110070040007
298,110003093205
299,110005185995
300,110071201756
301,110046145569
302,110066442932
303,110031343017
304,110028138806
305,110015554489
306,110043618608
307,110010965562
308,110001933551
309,110032463055
310,110064658767
311,110034700223
312,110070487235
313,110030614119
